key,kind,research,resolved_result,resolved_catalyst,resolved_components
CoreAlchemy,INFUSION,COREALCHEMY,thaumcraft:tc4_golem_core_essentia,thaumcraft:tc4_golem_core_liquid,thaumcraft:tc4_block_essentia_jar|minecraft:emerald|minecraft:emerald|minecraft:emerald
CoreSorting,INFUSION,CORESORTING,thaumcraft:tc4_golem_core_sorting,thaumcraft:tc4_brain,thaumcraft:tc4_golem_core_fill|minecraft:quartz|thaumcraft:tc4_golem_core_empty|minecraft:cookie
CoreLumber,INFUSION,CORELUMBER,thaumcraft:tc4_golem_core_lumber,thaumcraft:tc4_golem_core_harvest,thaumcraft:tc4_elementalaxe|minecraft:iron_axe|minecraft:iron_axe|minecraft:iron_axe
CoreFishing,INFUSION,COREFISHING,thaumcraft:tc4_golem_core_fish,thaumcraft:tc4_golem_core_harvest,minecraft:spider_eye|minecraft:cod|minecraft:cod|minecraft:cod
CoreUse,INFUSION,COREUSE,thaumcraft:tc4_golem_core_use,thaumcraft:tc4_golem_core_empty,minecraft:quartz|minecraft:iron_axe|minecraft:cod|minecraft:mycelium
ArcaneBore,INFUSION,ARCANEBORE,thaumcraft:tc4_block_arcane_bore,minecraft:obsidian,thaumcraft:tc4_block_greatwood_planks|thaumcraft:tc4_block_greatwood_planks|minecraft:gold_ingot|minecraft:gold_ingot|minecraft:bowl|minecraft:mushroom_stew|thaumcraft:tc4_shard_aer|thaumcraft:tc4_shard_terra
LampGrowth,INFUSION,LAMPGROWTH,thaumcraft:tc4_block_lamp_growth,thaumcraft:tc4_block_arcane_lamp,minecraft:gold_ingot|minecraft:black_dye|thaumcraft:tc4_shard_terra|minecraft:gold_ingot|minecraft:black_dye|thaumcraft:tc4_shard_terra
LampFertility,INFUSION,LAMPFERTILITY,thaumcraft:tc4_block_lamp_fertility,thaumcraft:tc4_block_arcane_lamp,minecraft:gold_ingot|minecraft:blaze_rod|thaumcraft:tc4_shard_ignis|minecraft:gold_ingot|minecraft:brewing_stand|thaumcraft:tc4_shard_ignis
ThaumiumFortressHelm,INFUSION,ARMORFORTRESS,thaumcraft:tc4_thaumiumfortresshelm,thaumcraft:tc4_thaumiumhelm,thaumcraft:tc4_thaumiumingot|thaumcraft:tc4_thaumiumingot|minecraft:gold_ingot|minecraft:gold_ingot|minecraft:writable_book
ThaumiumFortressChest,INFUSION,ARMORFORTRESS,thaumcraft:tc4_thaumiumfortresschest,thaumcraft:tc4_thaumiumchest,thaumcraft:tc4_thaumiumingot|thaumcraft:tc4_thaumiumingot|thaumcraft:tc4_thaumiumingot|thaumcraft:tc4_thaumiumingot|minecraft:gold_ingot|minecraft:sugar
ThaumiumFortressLegs,INFUSION,ARMORFORTRESS,thaumcraft:tc4_thaumiumfortresslegs,thaumcraft:tc4_thaumiumlegs,thaumcraft:tc4_thaumiumingot|thaumcraft:tc4_thaumiumingot|thaumcraft:tc4_thaumiumingot|minecraft:gold_ingot|minecraft:sugar
VoidRobeHelm,INFUSION,ARMORVOIDFORTRESS,thaumcraft:tc4_voidrobehelm,thaumcraft:tc4_voidhelm,thaumcraft:tc4_gogglesrevealing|thaumcraft:tc4_cloth|thaumcraft:tc4_cloth|thaumcraft:tc4_dust|thaumcraft:tc4_cloth|thaumcraft:tc4_cloth
VoidRobeChest,INFUSION,ARMORVOIDFORTRESS,thaumcraft:tc4_voidrobechest,thaumcraft:tc4_voidchest,thaumcraft:tc4_clothchest|thaumcraft:tc4_voidingot|thaumcraft:tc4_thaumiumingot|thaumcraft:tc4_dust|thaumcraft:tc4_cloth|minecraft:sugar
VoidRobeLegs,INFUSION,ARMORVOIDFORTRESS,thaumcraft:tc4_voidrobelegs,thaumcraft:tc4_voidlegs,thaumcraft:tc4_clothlegs|thaumcraft:tc4_voidingot|thaumcraft:tc4_thaumiumingot|thaumcraft:tc4_dust|thaumcraft:tc4_cloth|minecraft:sugar
SanityCheck,INFUSION,SANITYCHECK,thaumcraft:tc4_sanitychecker,thaumcraft:thaumometer,thaumcraft:tc4_mirrorglass|thaumcraft:tc4_brain|minecraft:diamond
EssentiaReservoir,INFUSION,ESSENTIARESERVOIR,thaumcraft:tc4_block_essentia_reservoir,thaumcraft:tc4_block_essentia_tube,thaumcraft:tc4_voidingot|thaumcraft:tc4_block_essentia_jar|thaumcraft:tc4_block_essentia_jar|thaumcraft:tc4_voidingot|thaumcraft:tc4_block_essentia_jar|thaumcraft:tc4_block_essentia_jar
SinStone,INFUSION,SINSTONE,thaumcraft:tc4_compassstone,minecraft:paper,thaumcraft:tc4_nitor|thaumcraft:tc4_shard_ordo|thaumcraft:tc4_knowledgefragment|thaumcraft:tc4_shard_perditio
PrimalCrusher,INFUSION,PRIMALCRUSHER,thaumcraft:tc4_primal_crusher,thaumcraft:tc4_eldritch_object_3,thaumcraft:tc4_charm|thaumcraft:tc4_voidpick|thaumcraft:tc4_voidshovel|thaumcraft:tc4_charm|thaumcraft:tc4_elementalpick|thaumcraft:tc4_elementalshovel
EldritchEye,INFUSION,OCULUS,thaumcraft:tc4_eldritch_object,minecraft:nether_star,thaumcraft:tc4_voidseed|minecraft:gold_ingot
Smelting_4,SMELTING,,minecraft:iron_ingot,thaumcraft:tc4_clusteriron,
Smelting_5,SMELTING,,thaumcraft:tc4_quicksilver,thaumcraft:tc4_clustercinnabar,
Smelting_6,SMELTING,,minecraft:gold_ingot,thaumcraft:tc4_clustergold,
Smelting_7,SMELTING,,thaumcraft:tc4_dust,thaumcraft:tc4_shard_balanced,
Smelting_8,SMELTING,,minecraft:gold_nugget,thaumcraft:tc4_coin,
